,Company Name,Rating,Reviews,Salaries,Interviews,Jobs
71,Delhivery,4.0,5.2k Reviews,16.8k Salaries,https://www.ambitionbox.com/interviews/delhivery-interviews,116 Jobs
72,Amazon Development Centre India,4.2,5.2k Reviews,28k Salaries,https://www.ambitionbox.com/interviews/amazon-development-centre-india-pvt-ltd-interviews,5 Jobs
73,L&T Construction,4.1,5.1k Reviews,14.5k Salaries,https://www.ambitionbox.com/interviews/l-and-t-construction-interviews,-- Jobs
74,JPMorgan Chase & Co.,4.1,5.1k Reviews,72.5k Salaries,https://www.ambitionbox.com/interviews/jpmorgan-chase-and-co-dot-interviews,206 Jobs
75,Sun Pharmaceutical Industries,4.2,5k Reviews,19.9k Salaries,https://www.ambitionbox.com/interviews/sun-pharmaceutical-industries-interviews,417 Jobs
76,Hindustan Unilever,4.3,5k Reviews,20.6k Salaries,https://www.ambitionbox.com/interviews/hindustan-unilever-interviews,185 Jobs
77,FIS,3.9,5k Reviews,38.9k Salaries,https://www.ambitionbox.com/interviews/fidelity-national-information-services-interviews,29 Jobs
78,ITC,4.0,4.9k Reviews,22.7k Salaries,https://www.ambitionbox.com/interviews/itc-interviews,54 Jobs
79,Udaan,4.0,4.8k Reviews,18.8k Salaries,https://www.ambitionbox.com/interviews/udaan-interviews,31 Jobs
80,Hexaware Technologies,3.7,4.8k Reviews,44.9k Salaries,https://www.ambitionbox.com/interviews/hexaware-technologies-interviews,278 Jobs
81,IIFL Finance,4.0,4.8k Reviews,15.7k Salaries,https://www.ambitionbox.com/interviews/iifl-interviews,86 Jobs
82,JSW Steel,4.0,4.8k Reviews,24.5k Salaries,https://www.ambitionbox.com/interviews/jsw-steel-interviews,38 Jobs
83,Ujjivan Small Finance Bank,4.1,4.6k Reviews,12.3k Salaries,https://www.ambitionbox.com/interviews/ujjivan-small-finance-bank-interviews,187 Jobs
84,Muthoot Finance,3.6,4.5k Reviews,11.6k Salaries,https://www.ambitionbox.com/interviews/muthoot-finance-interviews,159 Jobs
85,Max Life Insurance,4.2,4.5k Reviews,16.8k Salaries,https://www.ambitionbox.com/interviews/max-life-insurance-interviews,430 Jobs
86,Tata Projects,4.3,4.4k Reviews,19.1k Salaries,https://www.ambitionbox.com/interviews/tata-projects-interviews,24 Jobs
87,Aurobindo Pharma,4.0,4.4k Reviews,21.8k Salaries,https://www.ambitionbox.com/interviews/aurobindo-pharma-interviews,21 Jobs
88,KPMG India,3.6,4.5k Reviews,62.8k Salaries,https://www.ambitionbox.com/interviews/kpmg-india-interviews,198 Jobs
89,Shapoorji Pallonji Group,4.2,4.4k Reviews,15.3k Salaries,https://www.ambitionbox.com/interviews/shapoorji-pallonji-interviews,25 Jobs
90,Oracle,3.8,4.4k Reviews,57.9k Salaries,https://www.ambitionbox.com/interviews/oracle-interviews,192 Jobs
91,Home Credit Finance,4.1,4.4k Reviews,10.7k Salaries,https://www.ambitionbox.com/interviews/home-credit-finance-interviews,76 Jobs
92,eClerx,3.5,4.3k Reviews,27.1k Salaries,https://www.ambitionbox.com/interviews/eclerx-interviews,51 Jobs
93,Apollo Hospitals,4.1,4.3k Reviews,14.8k Salaries,https://www.ambitionbox.com/interviews/apollo-hospitals-interviews,154 Jobs
94,Ashok Leyland,4.1,4.2k Reviews,17.9k Salaries,https://www.ambitionbox.com/interviews/ashok-leyland-interviews,1 Jobs
95,Omega Healthcare,3.8,4.2k Reviews,20.5k Salaries,https://www.ambitionbox.com/interviews/omega-healthcare-interviews,154 Jobs
96,Siemens,4.2,4.2k Reviews,29.7k Salaries,https://www.ambitionbox.com/interviews/siemens-india-interviews,898 Jobs
97,JLL,4.2,4.2k Reviews,19.7k Salaries,https://www.ambitionbox.com/interviews/jll-interviews,24 Jobs
98,Megha Engineering & Infrastructures,4.1,4.2k Reviews,15k Salaries,https://www.ambitionbox.com/interviews/megha-engineering-and-infrastructure-interviews,16 Jobs
99,Vivo,4.1,4.2k Reviews,13.4k Salaries,https://www.ambitionbox.com/interviews/vivo-interviews,1 Jobs
100,First Source,3.8,4.1k Reviews,19.9k Salaries,https://www.ambitionbox.com/interviews/first-source-interviews,44 Jobs
101,JustDial,3.6,4.1k Reviews,14.7k Salaries,https://www.ambitionbox.com/interviews/justdial-interviews,54 Jobs
102,Bajaj Allianz Life Insurance,4.1,4.1k Reviews,15k Salaries,https://www.ambitionbox.com/interviews/bajaj-allianz-life-insurance-interviews,65 Jobs
103,Hero MotoCorp,4.2,4k Reviews,14k Salaries,https://www.ambitionbox.com/interviews/hero-motocorp-interviews,-- Jobs
104,OPPO,4.0,4k Reviews,13.2k Salaries,https://www.ambitionbox.com/interviews/oppo-interviews,7 Jobs
105,Mahindra Finance,4.3,4k Reviews,10.9k Salaries,https://www.ambitionbox.com/interviews/mahindra-and-mahindra-financial-services-ltd-interviews,38 Jobs
106,DMart,4.0,3.9k Reviews,13.7k Salaries,https://www.ambitionbox.com/interviews/dmart-interviews,88 Jobs
107,Standard Chartered,3.9,3.9k Reviews,28k Salaries,https://www.ambitionbox.com/interviews/standard-chartered-interviews,4 Jobs
108,Coforge,3.5,3.9k Reviews,36.3k Salaries,https://www.ambitionbox.com/interviews/coforge-interviews,164 Jobs
109,Cyient,3.8,3.9k Reviews,25.4k Salaries,https://www.ambitionbox.com/interviews/cyient-interviews,61 Jobs
110,BigBasket,4.0,3.9k Reviews,15.2k Salaries,https://www.ambitionbox.com/interviews/bigbasket-interviews,30 Jobs
111,ICICI Lombard General Insurance Company,3.8,3.9k Reviews,18.1k Salaries,https://www.ambitionbox.com/interviews/icici-lombard-general-insurance-company-limited-interviews,191 Jobs
112,Indiamart Intermesh,3.6,3.9k Reviews,17.5k Salaries,https://www.ambitionbox.com/interviews/indiamart-intermesh-interviews,573 Jobs
113,CGI Group,4.1,3.9k Reviews,41.7k Salaries,https://www.ambitionbox.com/interviews/cgi-group-interviews,243 Jobs
114,Virtusa Consulting Services,3.8,3.9k Reviews,50.5k Salaries,https://www.ambitionbox.com/interviews/virtusa-consulting-services-interviews,6 Jobs
115,Equitas Small Finance Bank,4.4,3.7k Reviews,11.4k Salaries,https://www.ambitionbox.com/interviews/equitas-small-finance-bank-interviews,24 Jobs
116,TVS Motor,4.1,3.7k Reviews,13.6k Salaries,https://www.ambitionbox.com/interviews/tvs-motor-interviews,91 Jobs
117,Manappuram Finance,4.0,3.7k Reviews,7.7k Salaries,https://www.ambitionbox.com/interviews/manappuram-finance-interviews,1 Jobs
118,Ekart Logistics,4.1,3.7k Reviews,8.8k Salaries,https://www.ambitionbox.com/interviews/ekart-logistics-interviews,-- Jobs
119,GlobalLogic,3.7,3.7k Reviews,31.6k Salaries,https://www.ambitionbox.com/interviews/globallogic-interviews,32 Jobs
120,UST,3.9,3.7k Reviews,35.4k Salaries,https://www.ambitionbox.com/interviews/ust-global-interviews,33 Jobs
121,SBI Cards & Payment Services,3.8,3.6k Reviews,15k Salaries,https://www.ambitionbox.com/interviews/sbi-cards-and-payment-services-interviews,118 Jobs
122,Hewlett Packard Enterprise,4.3,3.6k Reviews,30.5k Salaries,https://www.ambitionbox.com/interviews/hewlett-packard-enterprise-interviews,16 Jobs
123,Atos Syntel,3.6,3.6k Reviews,34.7k Salaries,https://www.ambitionbox.com/interviews/syntel-interviews,44 Jobs
124,Bosch Global Software Technologies,4.1,3.6k Reviews,34.8k Salaries,https://www.ambitionbox.com/interviews/bosch-global-software-technologies-interviews,12 Jobs
125,IQVIA,4.1,3.6k Reviews,26.6k Salaries,https://www.ambitionbox.com/interviews/iqvia-interviews,31 Jobs
126,Nagarro,4.1,3.6k Reviews,25.1k Salaries,https://www.ambitionbox.com/interviews/nagarro-interviews,40 Jobs
127,Cholamandalam Investment & Finance,4.1,3.6k Reviews,9.8k Salaries,https://www.ambitionbox.com/interviews/cholamandalam-investment-and-finance-interviews,22 Jobs
128,SMFG India Credit,4.1,3.6k Reviews,10.3k Salaries,https://www.ambitionbox.com/interviews/fullerton-india-interviews,47 Jobs
129,Bosch,4.3,3.5k Reviews,19.9k Salaries,https://www.ambitionbox.com/interviews/bosch-interviews,-- Jobs
130,Reliance Communications,4.0,3.5k Reviews,11.9k Salaries,https://www.ambitionbox.com/interviews/reliance-communications-interviews,2 Jobs
131,BNY Mellon,4.0,3.5k Reviews,28.1k Salaries,https://www.ambitionbox.com/interviews/bny-mellon-interviews,317 Jobs
132,L&T Technology Services,3.4,3.5k Reviews,32.4k Salaries,https://www.ambitionbox.com/interviews/l-and-t-technology-services-interviews,-- Jobs
133,Schneider Electric,4.2,3.5k Reviews,20.7k Salaries,https://www.ambitionbox.com/interviews/schneider-electric-interviews,46 Jobs
134,Hyundai Motor,4.4,3.5k Reviews,12.8k Salaries,https://www.ambitionbox.com/interviews/hyundai-motor-interviews,6 Jobs
135,Amdocs,4.0,3.4k Reviews,35k Salaries,https://www.ambitionbox.com/interviews/amdocs-interviews,3 Jobs
136,Oyo Rooms,3.4,3.4k Reviews,24.2k Salaries,https://www.ambitionbox.com/interviews/oyo-rooms-interviews,54 Jobs
137,Swiggy,3.9,3.4k Reviews,19k Salaries,https://www.ambitionbox.com/interviews/swiggy-interviews,105 Jobs
138,CBRE,4.3,3.4k Reviews,15.6k Salaries,https://www.ambitionbox.com/interviews/cbre-interviews,121 Jobs
139,State Bank of India,3.9,3.4k Reviews,10k Salaries,https://www.ambitionbox.com/interviews/state-bank-of-india-interviews,-- Jobs
140,JBM Group,4.0,3.4k Reviews,13k Salaries,https://www.ambitionbox.com/interviews/jbm-group-interviews,-- Jobs
141,BT Group,4.1,3.3k Reviews,10.7k Salaries,https://www.ambitionbox.com/interviews/bt-group-interviews,24 Jobs
142,SBI Life Insurance Company,3.9,3.3k Reviews,10.5k Salaries,https://www.ambitionbox.com/interviews/sbi-life-insurance-company-interviews,10 Jobs
143,Optum,4.0,3.3k Reviews,25.8k Salaries,https://www.ambitionbox.com/interviews/optum-interviews,19 Jobs
144,Ecom Express,4.1,3.3k Reviews,8.3k Salaries,https://www.ambitionbox.com/interviews/ecom-express-interviews,46 Jobs
145,Nagarjuna Construction Company,4.2,3.3k Reviews,10.3k Salaries,https://www.ambitionbox.com/interviews/ncc-interviews,9 Jobs
146,Dell,4.2,3.3k Reviews,26.7k Salaries,https://www.ambitionbox.com/interviews/dell-interviews,3 Jobs
147,Bajaj Auto,3.9,3.3k Reviews,12.9k Salaries,https://www.ambitionbox.com/interviews/bajaj-auto-interviews,8 Jobs
148,KEC International,4.1,3.2k Reviews,10.8k Salaries,https://www.ambitionbox.com/interviews/kec-international-interviews,5 Jobs
149,Future Group,4.3,3.2k Reviews,11k Salaries,https://www.ambitionbox.com/interviews/future-group-interviews,3 Jobs
150,Piramal Capital Housing Finance,4.2,3.2k Reviews,8.6k Salaries,https://www.ambitionbox.com/interviews/piramal-capital-housing-finance-limited-interviews,13 Jobs
151,Aditya Birla Fashion and Retail,4.2,3.2k Reviews,11.6k Salaries,https://www.ambitionbox.com/interviews/aditya-birla-fashion-and-retail-interviews,33 Jobs
152,Muthoot Fincorp,4.1,3.2k Reviews,7.9k Salaries,https://www.ambitionbox.com/interviews/muthoot-fincorp-interviews,29 Jobs
153,Royal Enfield,4.3,3.1k Reviews,13k Salaries,https://www.ambitionbox.com/interviews/royal-enfield-interviews,4 Jobs
154,L&T Finance,4.0,3.1k Reviews,10.5k Salaries,https://www.ambitionbox.com/interviews/l-and-t-finance-interviews,-- Jobs
155,Viatris,4.3,3k Reviews,13.9k Salaries,https://www.ambitionbox.com/interviews/viatris-interviews,-- Jobs
156,Tata Communications,4.2,3k Reviews,22.2k Salaries,https://www.ambitionbox.com/interviews/tata-communications-interviews,398 Jobs
157,Samvardhana Motherson Group,3.8,3k Reviews,13k Salaries,https://www.ambitionbox.com/interviews/motherson-sumi-systems-interviews,50 Jobs
158,Intas Pharmaceuticals,4.2,3k Reviews,14.9k Salaries,https://www.ambitionbox.com/interviews/intas-pharmaceuticals-interviews,41 Jobs
159,LG Electronics,4.1,3k Reviews,9.7k Salaries,https://www.ambitionbox.com/interviews/lg-electronics-interviews,-- Jobs
160,John Deere,4.3,3k Reviews,13.7k Salaries,https://www.ambitionbox.com/interviews/john-deere-interviews,2 Jobs
161,Varun Beverages,4.1,3k Reviews,9.2k Salaries,https://www.ambitionbox.com/interviews/varun-beverages-interviews,64 Jobs
162,Kogta Financial India Limited,4.8,3k Reviews,1.3k Salaries,https://www.ambitionbox.com/interviews/kogta-financial-interviews,6 Jobs
163,Persistent Systems,3.8,3k Reviews,32.4k Salaries,https://www.ambitionbox.com/interviews/persistent-systems-interviews,312 Jobs
164,Godrej & Boyce Manufacturing,3.9,2.9k Reviews,15.9k Salaries,https://www.ambitionbox.com/interviews/godrej-and-boyce-manufacturing-interviews,57 Jobs
165,Randstad,3.9,2.9k Reviews,13.1k Salaries,https://www.ambitionbox.com/interviews/randstad-interviews,237 Jobs
166,Thermax Limited,4.2,2.9k Reviews,11.6k Salaries,https://www.ambitionbox.com/interviews/thermax-interviews,74 Jobs
167,Hetero Drugs,3.9,2.9k Reviews,13.3k Salaries,https://www.ambitionbox.com/interviews/hetero-drugs-interviews,23 Jobs
168,Deutsche Bank,4.1,2.9k Reviews,30.7k Salaries,https://www.ambitionbox.com/interviews/deutsche-bank-interviews,393 Jobs
169,Macleods Pharmaceuticals,3.8,2.9k Reviews,13.8k Salaries,https://www.ambitionbox.com/interviews/macleods-pharmaceuticals-interviews,-- Jobs
170,Havells,4.1,2.9k Reviews,11.5k Salaries,https://www.ambitionbox.com/interviews/havells-interviews,62 Jobs
171,CARS24,3.7,2.9k Reviews,11.9k Salaries,https://www.ambitionbox.com/interviews/cars24-dot-com-interviews,99 Jobs
172,Team Lease,4.0,2.9k Reviews,13.8k Salaries,https://www.ambitionbox.com/interviews/team-lease-interviews,20 Jobs
173,Subros,4.0,2.8k Reviews,11.8k Salaries,https://www.ambitionbox.com/interviews/subros-interviews,-- Jobs
174,Sodexo,4.1,2.8k Reviews,9.2k Salaries,https://www.ambitionbox.com/interviews/sodexo-interviews,97 Jobs
175,Abbott,4.2,2.8k Reviews,10.6k Salaries,https://www.ambitionbox.com/interviews/abbott-interviews,146 Jobs
176,VE Commercial Vehicles,4.1,2.8k Reviews,12.2k Salaries,https://www.ambitionbox.com/interviews/ve-commercial-vehicles-interviews,10 Jobs
177,Indian Oil Corporation,4.5,2.8k Reviews,7.3k Salaries,https://www.ambitionbox.com/interviews/indian-oil-corporation-interviews,-- Jobs
178,Whitehat jr,3.5,2.8k Reviews,9.5k Salaries,https://www.ambitionbox.com/interviews/whitehat-jr-interviews,188 Jobs
179,Ford Motor,4.5,2.8k Reviews,13.9k Salaries,https://www.ambitionbox.com/interviews/ford-motor-interviews,158 Jobs
180,Tata Capital,4.2,2.8k Reviews,9.7k Salaries,https://www.ambitionbox.com/interviews/tata-capital-interviews,1.3k Jobs
181,Automatic Data Processing (ADP),4.1,2.8k Reviews,20k Salaries,https://www.ambitionbox.com/interviews/adp-solutions-interviews,25 Jobs
182,Bharat Electronics,4.2,2.8k Reviews,11.2k Salaries,https://www.ambitionbox.com/interviews/bel-interviews,-- Jobs
183,Cummins,4.4,2.7k Reviews,14.7k Salaries,https://www.ambitionbox.com/interviews/cummins-interviews,23 Jobs
184,ITC Infotech,3.7,2.7k Reviews,27.1k Salaries,https://www.ambitionbox.com/interviews/itc-infotech-india-interviews,558 Jobs
185,Access Healthcare,4.0,2.7k Reviews,17.8k Salaries,https://www.ambitionbox.com/interviews/access-healthcare-interviews,104 Jobs
186,R1 RCM,4.0,2.7k Reviews,16.2k Salaries,https://www.ambitionbox.com/interviews/r1-rcm-interviews,72 Jobs
187,American Express,4.3,2.7k Reviews,20.8k Salaries,https://www.ambitionbox.com/interviews/american-express-interviews,198 Jobs
188,Alembic Pharmaceuticals,4.1,2.7k Reviews,13.6k Salaries,https://www.ambitionbox.com/interviews/alembic-pharmaceuticals-interviews,55 Jobs
189,Pidilite Industries,4.4,2.7k Reviews,9.5k Salaries,https://www.ambitionbox.com/interviews/pidilite-industries-interviews,31 Jobs
190,Tata AIA Life Insurance,4.1,2.7k Reviews,11.7k Salaries,https://www.ambitionbox.com/interviews/tata-aia-life-insurance-interviews,2 Jobs
191,UnitedHealth,4.1,2.7k Reviews,21.1k Salaries,https://www.ambitionbox.com/interviews/unitedhealth-interviews,3 Jobs
192,Hindalco Industries,4.3,2.7k Reviews,9.7k Salaries,https://www.ambitionbox.com/interviews/hindalco-industries-interviews,-- Jobs
193,Alkem Laboratories,4.0,2.6k Reviews,8.9k Salaries,https://www.ambitionbox.com/interviews/alkem-laboratories-interviews,23 Jobs
194,Aakash Educational Services,3.6,2.6k Reviews,11.3k Salaries,https://www.ambitionbox.com/interviews/aakash-institute-interviews,71 Jobs
195,Publicis Sapient,3.6,2.6k Reviews,27.3k Salaries,https://www.ambitionbox.com/interviews/sapient-interviews,26 Jobs
196,Atos,3.8,2.6k Reviews,27.2k Salaries,https://www.ambitionbox.com/interviews/atos-interviews,-- Jobs
197,Utkarsh Small Finance Bank,4.0,2.6k Reviews,8.7k Salaries,https://www.ambitionbox.com/interviews/utkarsh-small-finance-bank-interviews,17 Jobs
